Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
Mistral-Nemo-Inst,128,12,♯,95.6,63.5,76.0,8.2,48.3,33.4,19.8,49.2
MegaBeam-Mistral,512,7,♯,97.1,63.0,76.4,14.1,40.3,30.7,22.6,49.2
Yi-6B-200k,200,6,♭,72.4,45.6,71.9,2.3,26.7,24.9,0.9,34.9
Yi-9B-200k,200,9,♭,90.4,60.8,58.8,10.0,35.3,29.3,3.8,41.2
Yi-34B-200k,200,34,♭,91.2,65.9,76.7,7.4,45.6,24.0,12.1,46.1
Yi-1.5-9B-32k,32,9,♭,77.4,54.6,75.3,3.2,34.8,13.3,12.2,38.7
Phi-3-mini-128k-Inst,128,4,♯,96.8,61.4,69.6,18.5,33.1,31.4,21.7,47.5
Phi-3-small-128k-Inst,128,7,♯,93.6,64.7,74.1,13.5,35.5,28.5,20.3,47.2
Phi-3-med-128k-Inst,128,14,♯,88.9,63.8,65.5,26.4,36.7,21.2,23.3,46.5
Phi-3.5-mini-Inst,128,4,♯,97.8,60.6,70.2,15.8,36.4,26.4,21.1,46.9
Qwen2-7B,32,7,♭,66.4,54.9,67.5,10.0,23.9,30.3,8.6,37.4
Qwen2-7B-Inst,32,7,♯,65.4,57.3,67.8,7.4,28.2,34.2,18.3,39.8
Qwen2-57B,32,14,♭,95.1,59.7,77.2,12.5,37.0,30.0,18.4,47.1
Qwen2-57B-Inst,32,14,♯,96.3,66.2,80.9,11.3,38.9,32.1,23.0,49.8
Qwen2.5-1.5B,32,1.5,♭,79.2,46.2,64.8,4.8,22.5,19.4,3.9,34.4
Qwen2.5-1.5B-Inst,32,1.5,♯,83.5,49.1,61.7,3.5,26.3,27.8,13.3,37.9
Qwen2.5-3B,32,3,♭,87.4,53.8,71.6,6.6,32.3,27.8,5.2,40.7
Qwen2.5-3B-Inst,32,3,♯,91.2,55.2,74.4,9.5,42.2,28.7,19.9,45.9
Qwen2.5-7B,128,7,♭,96.8,60.8,75.4,15.9,32.6,28.8,11.0,45.9
Qwen2.5-7B-Inst,128,7,♯,97.9,64.8,77.9,27.2,46.8,34.9,28.2,54.0
Qwen2.5-72B-Inst,128,72,♯,100.0,72.0,80.4,40.8,75.3,40.5,33.9,63.3
ProLong,512,8,♯,99.7,67.5,75.1,27.1,47.4,36.9,22.3,53.7
Gemma-3-12B,128,12,♭,99.1,64.9,72.0,14.6,40.5,31.3,0.4,46.1
Gemma-3-12B-Inst,128,12,♯,76.6,64.5,65.1,23.5,61.1,35.9,31.0,51.1
Gemma-3-27B,128,27,♭,98.9,68.6,79.0,19.9,45.1,33.5,1.4,49.5
Gemma-3-27B-Inst,128,27,♯,96.3,68.1,73.7,35.1,69.1,36.9,33.1,58.9
Jamba-v0.1,256,12,♭,95.2,61.8,80.6,10.4,32.0,31.4,0.7,44.6
Jamba-1.5-Mini,256,12,♯,95.4,64.1,85.0,8.3,46.3,40.0,17.3,50.9
