Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
GPT-4,128,?,♯,99.8,73.5,82.0,42.7,78.1,46.1,29.1,64.5
GPT-4o-mini,128,?,♯,99.8,72.1,79.9,33.7,71.1,39.8,33.8,61.4
GPT-4o-05,128,?,♯,92.2,72.4,80.1,43.7,77.9,48.0,33.2,63.9
GPT-4o-08,128,?,♯,100.0,74.0,85.9,46.7,80.5,48.1,34.3,67.1
Claude-3.5-Sonnet,200,?,♯,96.6,35.8,88.7,32.2,41.0,23.1,33.8,50.2
Gemini-1.5-Flash,1024,?,♯,93.8,70.5,68.7,49.4,80.8,42.4,28.4,62.0
Gemini-1.5-Pro,2048,?,♯,87.3,73.4,81.1,45.9,84.1,41.5,32.7,63.7
Llama-2-7B-32k,32,7,♭,54.9,49.7,74.6,4.1,29.0,26.7,1.6,34.4
Llama-2-7B-32k-Inst,32,7,♯,76.2,60.6,73.4,9.8,31.1,28.3,2.1,40.2
Llama-7B-80k,80,7,♭,71.1,53.0,64.7,8.4,26.5,24.5,0.7,35.6
Yarn-Llama-2-7B-64k,64,7,♭,42.0,52.2,71.6,4.5,20.5,21.2,0.7,30.4
Yarn-Llama-2-7B-128k,128,7,♭,39.2,50.7,71.1,4.5,18.3,21.7,0.6,29.4
Llama-3-8B,8,8,♭,0.0,2.3,1.4,0.3,0.0,5.3,0.0,1.3
Llama-3-8B-Inst,8,8,♯,0.0,0.1,2.0,0.1,0.0,5.0,0.0,1.0
Llama-3-8B-θ,8,8,♭,77.6,60.4,64.0,11.5,34.4,24.7,0.5,39.0
Llama-3-8B-Inst-θ,8,8,♯,91.8,64.2,71.1,20.7,37.1,26.2,26.7,48.2
Llama-3-70B-θ,8,70,♭,85.2,65.2,71.4,22.2,44.1,37.3,9.0,47.8
Llama-3-70B-Inst-θ,8,70,♯,95.0,68.3,68.0,44.2,73.8,33.8,31.6,59.3
Llama-3.1-8B,128,8,♭,92.9,65.5,69.6,10.3,38.3,27.2,0.0,43.4
Llama-3.1-8B-Inst,128,8,♯,100.0,68.8,76.4,26.7,51.7,32.6,24.2,54.3
Llama-3.1-70B,128,70,♭,99.8,68.2,74.8,21.7,53.0,41.1,11.5,52.9
Llama-3.1-70B-Inst,128,70,♯,100.0,71.5,75.0,41.3,73.5,40.0,31.3,61.8
Llama-3.3-70B-Inst,128,70,♯,100.0,72.7,75.0,38.6,76.7,41.8,30.0,62.1
Llama-3.2-1B,128,1,♭,60.6,39.1,63.8,5.6,26.2,14.1,0.2,29.9
Llama-3.2-1B-Inst,128,1,♯,62.6,44.6,65.4,5.8,18.5,17.6,9.3,32.0
Llama-3.2-3B,128,3,♭,89.3,60.9,77.2,7.1,33.5,23.9,0.3,41.8
Llama-3.2-3B-Inst,128,3,♯,93.1,64.9,76.4,7.5,29.4,26.8,21.2,45.6
Llama-4-17B,128,17,♭,84.2,54.4,75.7,7.1,39.5,21.8,0.5,40.4
Llama-4-17B-Inst,128,17,♯,90.4,51.8,75.4,21.9,34.3,29.9,22.4,46.6
Mistral-7B-Inst-v0.1,8,7,♯,16.9,46.8,44.6,2.3,0.6,13.2,12.2,19.5
Mistral-7B-Inst-v0.2,32,7,♯,90.6,60.6,72.0,8.6,44.0,25.2,24.0,46.4
Mistral-7B-v0.3,32,7,♭,95.2,61.5,73.3,10.8,34.8,29.3,0.6,43.6
Mistral-7B-Inst-v0.3,32,7,♯,94.8,63.5,79.0,16.0,49.3,34.0,21.8,51.2
Ministral-8B-Inst,128,8,♯,97.7,66.0,74.8,24.1,49.4,33.4,25.6,53.0
Mistral-Nemo,128,12,♭,96.4,62.4,69.6,6.1,35.7,32.5,1.7,43.5
