Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
GPT-4,128,?,♯,99.5,75.1,80.8,44.0,87.8,46.6,28.2,66.0
GPT-4o-mini,128,?,♯,99.8,72.6,77.3,36.1,80.8,35.3,26.7,61.2
GPT-4o-05,128,?,♯,93.2,72.5,79.9,44.2,86.3,43.8,29.5,64.2
GPT-4o-08,128,?,♯,100.0,73.9,82.6,45.4,86.9,41.8,28.3,65.5
Claude-3.5-Sonnet,200,?,♯,99.5,55.4,87.1,34.8,75.2,29.2,28.9,58.6
Gemini-1.5-Flash,1024,?,♯,93.5,71.9,74.2,48.7,87.8,33.9,25.0,62.1
Gemini-1.5-Pro,2048,?,♯,87.5,73.6,78.7,47.2,87.6,35.5,30.0,62.9
Llama-2-7B-32k,32,7,♭,77.2,53.1,67.3,6.1,44.5,21.5,2.2,38.9
Llama-2-7B-32k-Inst,32,7,♯,89.8,63.2,67.4,11.9,43.2,24.9,6.5,43.8
Llama-7B-80k,80,7,♭,85.0,55.2,57.2,12.4,37.0,19.4,0.8,38.1
Yarn-Llama-2-7B-64k,64,7,♭,60.6,53.1,65.4,6.0,41.2,18.6,0.6,35.1
Yarn-Llama-2-7B-128k,128,7,♭,58.4,53.6,63.0,5.3,43.2,18.2,1.1,34.7
Llama-3-8B,8,8,♭,99.2,63.2,63.4,16.4,44.3,24.0,0.0,44.4
Llama-3-8B-Inst,8,8,♯,99.4,67.0,70.9,14.1,54.5,16.6,21.9,49.2
Llama-3-8B-θ,8,8,♭,93.2,59.8,53.9,15.1,44.4,19.8,0.8,41.0
Llama-3-8B-Inst-θ,8,8,♯,97.3,65.9,64.8,22.4,59.5,24.6,23.1,51.1
Llama-3-70B-θ,8,70,♭,91.0,68.1,67.7,23.8,54.7,31.4,8.0,49.2
Llama-3-70B-Inst-θ,8,70,♯,97.5,70.5,64.5,43.5,82.1,25.4,26.9,58.6
Llama-3.1-8B,128,8,♭,97.3,65.8,64.1,17.3,46.6,23.6,0.1,45.0
Llama-3.1-8B-Inst,128,8,♯,100.0,70.8,71.3,36.3,67.0,25.2,21.3,56.0
Llama-3.1-70B,128,70,♭,99.8,69.2,69.0,23.2,57.7,35.2,9.4,51.9
Llama-3.1-70B-Inst,128,70,♯,100.0,74.0,71.6,44.3,83.5,31.2,26.1,61.5
Llama-3.3-70B-Inst,128,70,♯,100.0,74.4,70.2,40.4,84.8,34.7,24.9,61.3
Llama-3.2-1B,128,1,♭,73.5,41.5,54.8,6.6,32.4,14.3,0.4,31.9
Llama-3.2-1B-Inst,128,1,♯,72.9,48.7,56.5,6.3,26.0,16.2,8.0,33.5
Llama-3.2-3B,128,3,♭,90.8,61.1,66.6,10.4,43.6,20.6,0.1,41.9
Llama-3.2-3B-Inst,128,3,♯,99.2,65.3,68.6,11.2,41.0,21.5,18.6,46.5
Llama-4-17B,128,17,♭,73.0,58.0,66.0,14.0,37.1,23.2,1.4,39.0
Llama-4-17B-Inst,128,17,♯,89.8,59.0,67.0,23.1,56.5,25.2,20.2,48.7
Mistral-7B-Inst-v0.1,8,7,♯,35.6,52.2,45.2,4.7,2.8,16.3,13.5,24.3
