Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
Mistral-7B-Inst-v0.2,32,7,♯,93.8,63.7,65.4,22.7,62.1,18.4,21.6,49.7
Mistral-7B-v0.3,32,7,♭,96.9,62.8,64.0,14.1,42.4,24.7,1.9,43.8
Mistral-7B-Inst-v0.3,32,7,♯,96.6,64.9,73.1,32.9,64.0,26.2,21.3,54.1
Ministral-8B-Inst,128,8,♯,98.9,66.7,71.3,36.7,67.4,28.8,22.7,56.1
Mistral-Nemo,128,12,♭,99.9,64.9,63.2,19.4,52.2,26.5,1.7,46.8
Mistral-Nemo-Inst,128,12,♯,99.9,67.8,68.6,32.7,66.3,31.0,25.3,55.9
MegaBeam-Mistral,512,7,♯,97.8,64.7,72.1,22.0,56.4,20.7,20.3,50.6
Yi-6B-200k,200,6,♭,85.4,49.2,67.0,4.1,43.9,23.9,1.3,39.3
Yi-9B-200k,200,9,♭,95.5,61.4,54.3,12.5,44.7,24.2,2.6,42.2
Yi-34B-200k,200,34,♭,95.9,68.2,71.8,9.5,55.1,24.3,11.0,48.0
Yi-1.5-9B-32k,32,9,♭,97.2,58.2,73.2,5.3,50.5,14.5,11.6,44.4
Phi-3-mini-128k-Inst,128,4,♯,97.8,62.5,65.6,23.3,53.1,28.2,19.1,49.9
Phi-3-small-128k-Inst,128,7,♯,94.0,67.1,67.8,17.9,46.1,25.0,18.6,48.1
Phi-3-med-128k-Inst,128,14,♯,91.6,66.1,62.6,39.8,52.6,22.7,21.4,51.0
Phi-3.5-mini-Inst,128,4,♯,98.3,61.9,63.8,22.2,51.3,24.7,19.6,48.8
Qwen2-7B,32,7,♭,64.6,56.8,61.4,14.8,44.7,26.8,10.0,39.9
Qwen2-7B-Inst,32,7,♯,73.2,58.5,63.0,15.5,47.9,29.1,17.7,43.6
Qwen2-57B,32,14,♭,97.8,63.2,70.6,27.8,51.6,30.8,16.1,51.1
Qwen2-57B-Inst,32,14,♯,98.6,65.4,73.9,36.0,53.3,32.7,21.3,54.5
Qwen2.5-1.5B,32,1.5,♭,85.6,49.3,54.8,7.7,33.4,18.0,2.6,35.9
Qwen2.5-1.5B-Inst,32,1.5,♯,91.6,53.2,51.5,10.2,45.8,26.2,12.9,41.6
Qwen2.5-3B,32,3,♭,95.6,57.9,66.3,11.4,44.3,24.1,7.9,43.9
Qwen2.5-3B-Inst,32,3,♯,95.6,57.3,70.3,21.9,58.5,23.7,18.4,49.4
Qwen2.5-7B,128,7,♭,98.5,62.9,70.3,22.1,47.4,30.0,12.0,49.0
Qwen2.5-7B-Inst,128,7,♯,98.9,64.2,72.1,36.6,57.9,26.0,23.5,54.2
Qwen2.5-72B-Inst,128,72,♯,100.0,72.5,78.4,42.7,86.0,36.2,28.2,63.4
ProLong,512,8,♯,99.4,67.4,69.1,34.6,60.4,28.3,21.7,54.4
Gemma-3-12B,128,12,♭,99.9,66.5,65.8,18.7,44.3,25.0,0.6,45.8
Gemma-3-12B-Inst,128,12,♯,90.3,67.3,60.8,42.7,73.7,29.7,29.0,56.2
Gemma-3-27B,128,27,♭,99.7,70.8,75.6,20.9,45.9,33.0,1.7,49.7
Gemma-3-27B-Inst,128,27,♯,99.7,69.9,70.0,44.3,79.8,30.0,30.7,60.6
Jamba-v0.1,256,12,♭,97.9,64.5,74.5,14.2,47.5,29.5,2.8,47.3
Jamba-1.5-Mini,256,12,♯,98.4,65.2,81.0,14.4,62.1,35.9,17.1,53.4
