Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
GPT-4,128,?,♯,97.6,70.9,76.5,26.1,54.7,46.7,28.6,57.3
GPT-4o-mini,128,?,♯,99.1,70.0,81.9,30.0,58.8,45.8,35.1,60.1
GPT-4o-05,128,?,♯,91.2,72.6,75.8,42.3,67.7,53.6,39.4,63.3
GPT-4o-08,128,?,♯,100.0,72.4,87.2,45.4,68.5,50.8,38.9,66.2
Claude-3.5-Sonnet,200,?,♯,96.2,33.4,89.9,28.3,34.8,27.2,36.5,49.5
Gemini-1.5-Flash,1024,?,♯,93.7,69.2,56.6,48.1,74.0,46.3,33.5,60.2
Gemini-1.5-Pro,2048,?,♯,96.3,72.3,82.0,44.8,76.5,49.3,36.3,65.4
Llama-2-7B-32k,32,7,♭,39.4,45.9,78.0,1.4,10.5,29.0,1.0,29.3
Llama-2-7B-32k-Inst,32,7,♯,51.3,54.5,75.9,6.0,13.1,20.7,5.0,32.4
Llama-7B-80k,80,7,♭,54.1,52.1,67.5,6.3,19.6,21.8,0.4,31.7
Yarn-Llama-2-7B-64k,64,7,♭,25.9,52.4,76.2,3.0,15.5,22.7,0.0,28.0
Yarn-Llama-2-7B-128k,128,7,♭,17.5,51.3,76.3,3.5,11.2,20.2,0.7,25.8
Llama-3-8B,8,8,♭,0.0,0.0,2.2,0.1,0.0,4.0,0.0,0.9
Llama-3-8B-Inst,8,8,♯,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.8
Llama-3-8B-θ,8,8,♭,53.2,58.8,68.0,5.4,30.6,25.8,1.1,34.7
Llama-3-8B-Inst-θ,8,8,♯,67.6,61.5,76.0,13.1,26.5,30.2,29.9,43.5
Llama-3-70B-θ,8,70,♭,65.2,62.5,70.8,16.3,41.2,41.3,5.6,43.3
Llama-3-70B-Inst-θ,8,70,♯,81.2,66.6,70.4,37.7,59.0,41.1,37.3,56.2
Llama-3.1-8B,128,8,♭,90.1,63.8,71.7,5.1,34.9,30.8,0.0,42.3
