Model,Context Window (K),# Params (B),Model type,Recall,RAG,ICL,Cite,Re-rank,LongQA,Summ,Average
Llama-3.1-8B-Inst,128,8,♯,99.7,66.5,77.9,10.9,43.4,40.5,27.5,52.3
Llama-3.1-70B,128,70,♭,99.1,67.5,73.6,16.2,43.7,42.4,7.3,50.0
Llama-3.1-70B-Inst,128,70,♯,99.9,70.9,76.1,40.1,60.2,47.0,34.2,61.2
Llama-3.3-70B-Inst,128,70,♯,99.6,70.3,76.3,35.7,65.0,49.8,33.4,61.4
Llama-3.2-1B,128,1,♭,41.8,37.6,70.0,5.4,18.9,14.4,0.0,26.9
Llama-3.2-1B-Inst,128,1,♯,46.9,43.7,70.9,4.5,5.7,19.9,11.6,29.0
Llama-3.2-3B,128,3,♭,79.6,58.8,82.0,3.5,26.3,25.8,0.0,39.4
Llama-3.2-3B-Inst,128,3,♯,84.4,63.1,80.4,5.0,17.7,30.4,23.5,43.5
Llama-4-17B,128,17,♭,59.1,56.2,83.3,8.3,26.2,26.8,0.5,37.2
Llama-4-17B-Inst,128,17,♯,65.8,53.0,78.0,11.5,25.9,38.2,28.4,43.0
Mistral-7B-Inst-v0.1,8,7,♯,10.4,43.0,44.7,2.8,0.2,15.6,10.1,18.1
Mistral-7B-Inst-v0.2,32,7,♯,74.9,58.4,78.4,6.2,29.4,26.3,24.3,42.6
Mistral-7B-v0.3,32,7,♭,86.1,57.2,79.1,5.2,22.6,28.6,0.5,39.9
Mistral-7B-Inst-v0.3,32,7,♯,80.8,61.2,81.6,8.0,40.0,30.9,21.7,46.3
Ministral-8B-Inst,128,8,♯,95.1,63.5,77.3,7.6,32.6,34.9,23.1,47.7
Mistral-Nemo,128,12,♭,76.9,53.6,76.8,3.4,12.7,33.6,3.0,37.2
Mistral-Nemo-Inst,128,12,♯,65.6,57.3,80.2,2.8,14.8,27.3,20.8,38.4
MegaBeam-Mistral,512,7,♯,95.9,61.8,80.6,9.0,35.0,32.2,24.1,48.4
Yi-6B-200k,200,6,♭,54.7,42.2,76.0,0.9,11.8,25.7,3.3,30.7
Yi-9B-200k,200,9,♭,77.9,60.7,61.4,5.8,26.1,33.9,3.8,38.5
Yi-34B-200k,200,34,♭,89.9,64.5,80.6,3.4,34.6,25.4,11.2,44.2
Yi-1.5-9B-32k,32,9,♭,52.9,48.7,76.1,1.8,23.3,14.1,11.3,32.6
Phi-3-mini-128k-Inst,128,4,♯,95.1,59.4,73.7,10.1,23.5,32.9,24.0,45.5
Phi-3-small-128k-Inst,128,7,♯,83.4,62.6,79.1,6.9,27.4,36.0,24.8,45.7
Phi-3-med-128k-Inst,128,14,♯,79.3,62.3,67.8,9.7,26.1,19.1,23.0,41.0
Phi-3.5-mini-Inst,128,4,♯,94.7,57.1,75.2,7.2,25.6,29.3,22.9,44.6
Qwen2-7B,32,7,♭,63.0,53.1,71.1,7.0,14.1,33.5,10.8,36.1
Qwen2-7B-Inst,32,7,♯,66.1,54.0,68.6,3.6,19.5,32.5,20.2,37.8
Qwen2-57B,32,14,♭,87.2,57.7,80.7,5.1,20.5,32.8,22.2,43.8
Qwen2-57B-Inst,32,14,♯,90.2,62.2,83.5,4.1,22.3,34.2,21.9,45.5
Qwen2.5-1.5B,32,1.5,♭,64.1,41.8,69.4,3.9,8.7,20.1,3.5,30.2
Qwen2.5-1.5B-Inst,32,1.5,♯,68.4,46.0,63.8,2.0,14.5,27.6,14.1,33.8
Qwen2.5-3B,32,3,♭,73.9,50.7,74.8,4.4,27.9,23.9,4.8,37.2
Qwen2.5-3B-Inst,32,3,♯,84.6,51.7,76.3,6.3,28.6,30.2,20.3,42.6
Qwen2.5-7B,128,7,♭,95.2,54.4,78.5,9.5,23.1,31.0,8.7,42.9
Qwen2.5-7B-Inst,128,7,♯,95.2,57.7,79.2,16.5,34.7,28.9,27.1,48.5
Qwen2.5-72B-Inst,128,72,♯,98.4,70.2,81.8,39.0,60.3,44.4,38.8,61.8
ProLong,512,8,♯,99.2,66.4,78.9,12.8,40.2,37.6,22.2,51.1
Gemma-3-12B,128,12,♭,98.8,65.2,76.3,7.2,28.6,31.6,0.0,43.9
Gemma-3-12B-Inst,128,12,♯,55.3,62.8,68.7,3.4,51.5,38.6,31.2,44.5
Gemma-3-27B,128,27,♭,98.8,67.6,82.3,15.5,41.3,38.9,3.5,49.7
Gemma-3-27B-Inst,128,27,♯,94.3,65.8,74.2,10.6,57.4,39.7,35.1,53.9
Jamba-v0.1,256,12,♭,90.8,61.1,83.6,7.8,24.3,35.3,2.7,43.7
Jamba-1.5-Mini,256,12,♯,97.3,63.4,87.9,6.6,33.4,48.1,17.3,50.6
